# short_name          long_name
  1 qeynos               South Qeynos
189 tutorialb            The Mines of Gloomingdeep
190 clz                  Loading
200 codecay              Ruins of Lxanvom
201 pojustice            Plane of Justice
202 poknowledge          Plane of Knowledge
203 potranquility        Plane of Tranquility
204 ponightmare          Plane of Nightmare
205 podisease            Plane of Disease
206 poinnovation         Plane of Innovation
207 potorment            Plane of Torment
208 povalor              Plane of Valor
209 bothunder            Torden, The Bastion of Thunder
210 postorms             Plane of Storms
211 hohonora             Halls of Honor
212 solrotower           Solusek Ro's Tower
213 powar                Plane of War
214 potactics            Drunder, Fortress of Zek
215 poair                Eryslai, the Kingdom of Wind
216 powater              Reef of Coirnav
217 pofire               Doomfire, The Burning Lands
218 poeartha             Vegarlson, The Earthen Badlands
219 potimea              Plane of Time
220 hohonorb             Temple of Marr
221 nightmareb           Lair of Terris Thule
222 poearthb             Stronghold of the Twelve
223 potimeb              Plane of Time
224 gunthak              Gulf of Gunthak
225 dulak                Dulak's Harbor
226 torgiran             Torgiran Mines
227 nadox                Crypt of Nadox
228 hatesfury            Hate's Fury, The Scorned Maiden
229 guka                 The Cauldron of Lost Souls
230 ruja                 The Bloodied Quarries
231 taka                 The Sunken Library
232 mira                 The Silent Gallery
233 mmca                 The Forlorn Caverns
234 gukb                 The Drowning Crypt
235 rujb                 The Halls of War
236 takb                 The Shifting Tower
237 mirb                 The Maw of the Menagerie
238 mmcb                 The Dreary Grotto
239 gukc                 The Ancient Aqueducts
240 rujc                 The Wind Bridges
241 takc                 The Fading Temple
242 mirc                 The Spider Den
243 mmcc                 The Asylum of Invoked Stone
244 gukd                 The Mushroom Grove
245 rujd                 The Gladiator Pits
246 takd                 The Royal Observatory
247 mird                 The Hushed Banquet
248 mmcd                 The Chambers of Eternal Affliction
249 guke                 The Foreboding Prison
250 ruje                 The Drudge Hollows
251 take                 The River of Recollection
252 mire                 The Frosted Halls
253 mmce                 The Sepulcher of the Damned
254 gukf                 The Chapel of the Witnesses
255 rujf                 The Fortified Lair of the Taskmasters
256 takf                 The Sandfall Corridors
257 mirf                 The Forgotten Wastes
258 mmcf                 The Ritualistic Summoning Grounds
259 gukg                 The Root Garden
260 rujg                 The Hidden Vale
261 takg                 The Balancing Chamber
262 mirg                 The Heart of the Menagerie
263 mmcg                 The Cesspits of Putrescence
264 gukh                 The Accursed Sanctuary
265 rujh                 The Blazing Forge
266 takh                 The Sweeping Tides
267 mirh                 The Morbid Laboratory
268 mmch                 The Aisles of Blood
269 ruji                 The Arena of Chance
270 taki                 The Antiquated Palace
271 miri                 The Theater of Imprisoned Horrors
272 mmci                 The Halls of Sanguinary Rites
273 rujj                 The Barracks of War
274 takj                 The Prismatic Corridors
275 mirj                 The Grand Library
276 mmcj                 The Infernal Sanctuary
277 chardokb             The Halls of Betrayal
278 soldungc             The Caverns of Exile
279 abysmal              Abysmal Sea
280 natimbi              Natimbi, The Broken Shores
281 qinimi               Qinimi, Court of Nihilia
282 riwwi                Riwwi, Coliseum of Games
283 barindu              Barindu, Hanging Gardens
284 ferubi               Ferubi, Forgotten Temple of Taelosia
285 snpool               Sewers of Nihilia, Pool of Sludge
286 snlair               Sewers of Nihilia, Lair of Trapped Ones
287 snplant              Sewers of Nihilia, Purifying Plant
288 sncrematory          Sewers of Nihilia, the Crematory
289 tipt                 Tipt, Treacherous Crags
290 vxed                 Vxed, The Crumbling Caverns
291 yxtta                Yxtta, Pulpit of Exiles
292 uqua                 Uqua, The Ocean God Chantry
293 kodtaz               Kod'Taz, Broken Trial Grounds
294 ikkinz               Ikkinz, Chambers of Destruction
295 qvic                 Qvic, Prayer Grounds of Calling
296 inktuta              Inktu`Ta, The Unmasked Chapel
297 txevu                Txevu, Lair of the Elite
298 tacvi                Tacvi, Seat of the Slaver
299 qvicb                Qvic, the Hidden Vault
300 wallofslaughter      Wall of Slaughter
301 bloodfields          The Bloodfields
302 draniksscar          Dranik's Scar
303 causeway             Nobles' Causeway
304 chambersa            Muramite Proving Grounds
305 chambersb            Muramite Proving Grounds
306 chambersc            Muramite Proving Grounds
307 chambersd            Muramite Proving Grounds
308 chamberse            Muramite Proving Grounds
309 chambersf            Muramite Proving Grounds
316 provinggrounds       Muramite Proving Grounds
317 anguish              Asylum of Anguish
318 dranikhollowsa       Dranik's Hollows
319 dranikhollowsb       Dranik's Hollows
320 dranikhollowsc       Dranik's Hollows
321 dranikhollowsd       Dranik's Hollows
322 dranikhollowse       Dranik's Hollows
323 dranikhollowsf       Dranik's Hollows
324 dranikhollowsg       Dranik's Hollows
325 dranikhollowsh       Dranik's Hollows
326 dranikhollowsi       Dranik's Hollows
327 dranikhollowsj       Dranik's Hollows
328 dranikcatacombsa     Catacombs of Dranik
329 dranikcatacombsb     Catacombs of Dranik
330 dranikcatacombsc     Catacombs of Dranik
331 draniksewersa        Sewers of Dranik
332 draniksewersb        Sewers of Dranik
333 draniksewersc        Sewers of Dranik
334 riftseekers          Riftseekers' Sanctum
335 harbingers           Harbingers' Spire
336 dranik               The Ruined City of Dranik
337 broodlands           The Broodlands
338 stillmoona           Stillmoon Temple
339 stillmoonb           The Ascent
340 thundercrest         Thundercrest Isles
341 delvea               Lavaspinner's Lair
342 delveb               Tirranun's Delve
343 thenest              The Accursed Nest
344 guildlobby           The Guild Lobby
345 guildhall            Guild Hall
346 barter               The Barter Hall
347 Illsalin             The Ruins of Illsalin
348 IllsalinA            Illsalin Marketplace
349 IllsalinB            Temple of the Korlach
350 IllsalinC            The Nargilor Pits
351 Dreadspire           Dreadspire Keep
352 DreadspireA          The Torture Chamber
353 DreadspireB          The Artifact Room
354 DrachnidHive         The Hive
355 DrachnidHiveA        The Hatchery
356 DrachnidHiveB        The Cocoons
357 DrachnidHiveC        The Queen's Lair
358 WestKorlach          Stoneroot Falls
359 WestKorlachA         Prince's Manor
360 WestKorlachB         Caverns of the Lost
361 WestKorlachC         Lair of the Korlach
362 EastKorlach          The Undershore
363 EastKorlachA         Snarlstone Dens
364 EastKorlachB         Shadowspine
365 Corathus             Corathus Creep
366 CorathusA            Sporali Caverns
367 CorathusB            Corathus Lair
368 NektulosA            Shadowed Grove
996 arttest              Art Testing Domain
998 fhalls               The Forgotten Halls
999 apprentice           Designer Apprentice


PoR i guess

ID	Name                                            X	Y	Z

369 : arcstone 						0 	0 	550
370 : relic 						0 	0 	-250
371 : skylance 						0 	0 	0
372 : the devastation 					650 	650 	0
373 : the seething wall 				160 	160 	30
374 : sverag, stronghold of rage 			500 	120 	0
375 : razorthorn, tower of sullon zek			0 	0 	0
376 : ruins of takish-hiz				500	0 	50
377 : the root of ro					0	0	0
378 : the elddar forest					0	0	220
379 : tunare's shrine					0	0	0
380 : theater of blood					1000	1000	350
381 : deathknell, tower of dissonance			0	0	-500 & 0	0 	-630
382 : east freeport (ugly revamped version)		0	0	10
383 : west freeport					0	0	-60
384 : freeport sewers					0	0	-30
385 : academy of arcane science	(uh, freeport ?)	0	200	0
386 : temple of marr (ok that one looks cool)		0	0	10
387 : freeport militia house (... looks useless)	-10	-30	-30
388 : arena ( ?)					0	0	0
389 : city hall	(part of freeport ?)			0	0	0
390 : theater						0	0	0
391 : hall of truth					-300 	1060	-130
392 : north ro						?	?	?
393 : south ro						-300	300	0


TSS it seems

394 : crescent reach					0	0	0
395 : blightfire moors					-200	-10	80
396 : stone hive					0	0	-50
397 : goru`kar mesa					0	0	0
398 : blackfeather roost				0	0	-40
399 : the steppes					300	0	130
400 : icefall glacier					300	50	80
401 : valdeholm						300	50	0
402 : frostrypt, throne of the shade king		0	0	0
403 : sunderock springs					0	0	300
404 : vergalid mines					0	0	0
405 : direwind cliffs					0	0	0
406 : Ashengate, reliquary of the scale			0	0	0
407 : Highpass hold (omg :/)				-90	-80	-20
408 : Commonlands (... )				0	0	20
409 : Revamped OoT it seems, but crash on zone in	
410 : Kithicor wtf, crash too				
411 : Befallen ?!, crash too
412 : Highkeep revamped i guess, crash too
413 : Innothule swamp ?!, crash..
414 : Toxxulia, revamped 				0	0	70	
415 : Misty thicket ?!, crash.....


TBS looks so

416 : Katta Castrum					0	0	-100
417 : thalassius, the coral keep			0	0	20
418 : jewel of atiiki					0	0	-100	
419 : Zhisza, the shissar sanctuary (cool, shissar!!)	600	600	300
420 : Silyssar, new chelsith				0	0	0
421 : solteris, the throne of ro			0	0	0
422 : barren coast					0	0	20
423 : the buried sea					500	500	350
424 : jardel's hook					?	?	?
425 : Monkey rock					?	?	?
426 : suncrest isle					?	?	?
427 : Deadbone reef			
